T1Time,T1Pos,T1Vel,T1Acc,T2Time,T2Pos,T2Vel,T2Acc,T3Time,T3Pos,T3Vel,T3Acc,T4Time,T4Pos,T4Vel,T4Acc,T5Time,T5Pos,T5Vel,T5Acc,T6Time,T6Pos,T6Vel,T6Acc
2.9,1.008077,0.334329722,0.002329012,2.9,1.055068,0.334329722,0.006881173,2.9,1.0552395,0.336235278,0.005610802,2.9,1.025913,0.330518611,-0.002540741,2.9,1.0596985,0.331661944,0.018632099,2.9,1.1121775,0.330042222,0.02471929
2.95,1.0250555,0.333186389,-0.022125617,2.95,1.0720465,0.334806111,0.003122994,2.95,1.071875,0.336235278,0.002170216,2.95,1.0425485,0.331566667,0.014344599,2.95,1.0765055,0.333758056,0.016779475,2.95,1.126069,0.333662778,0.067276698
3,1.0415195,0.329946944,-0.009157253,3,1.0885105,0.335663611,-0.017255864,3,1.0888535,0.336235278,0.003969907,3,1.0590125,0.333472222,0.002911265,3,1.093141,0.334615556,-0.008469136,3,1.145277,0.341761389,0.01942608
3.05,1.057812,0.330899722,0.027048302,3.05,1.105832,0.332805278,-0.030435957,3.05,1.105489,0.336425833,0.012968364,3.05,1.075991,0.333376944,-0.03302963,3.05,1.1101195,0.332614722,-0.028371605,3.05,1.161055,0.335758889,-0.033929475
3.1,1.0744475,0.334615556,0.02900679,3.1,1.1217815,0.330328056,-0.003916975,3.1,1.1224675,0.337378611,0.028212809,3.1,1.0926265,0.328708333,-0.040651852,3.1,1.126412,0.330232778,-0.016779475,3.1,1.178548,0.334710833,-0.026783642
3.15,1.091426,0.335758889,-0.00301713,3.15,1.1385885,0.332519444,0.020961111,3.15,1.1392745,0.338331389,0.055896296,3.15,1.1087475,0.326135833,0.007886883,3.15,1.1430475,0.330042222,0.013550617,3.15,1.1944975,0.333281667,-0.017573457
3.2,1.108233,0.333281667,-0.017785185,3.2,1.1550525,0.334425,0.014397531,3.2,1.1560815,0.343,0.072993364,3.2,1.1248685,0.330232778,0.044039506,3.2,1.15934,0.331185556,0.053567284,3.2,1.211819,0.3335675,-0.013974074
3.25,1.124697,0.331661944,0.00831034,3.25,1.1722025,0.334043889,0.005240278,3.25,1.173403,0.349574167,0.019531944,3.25,1.141847,0.333281667,0.030541821,3.25,1.1759755,0.3369975,0.059866204,3.25,1.22794,0.332328889,-0.019267284
3.3,1.141161,0.334234444,0.034194136,3.3,1.188495,0.332805278,0.029536111,3.3,1.191582,0.346811111,-0.065424074,3.3,1.158311,0.334234444,-0.001535031,3.3,1.193297,0.337283333,0.05674321,3.3,1.24509,0.330709167,-0.010745216
3.35,1.1581395,0.336902222,0.026042593,3.35,1.2051305,0.337569167,0.044039506,3.35,1.208389,0.338331389,-0.073046296,3.35,1.175461,0.331757222,-0.008416204,3.35,1.2092465,0.345286667,0.0128625,3.35,1.260868,0.331185556,-0.002540741
